,background,body,clothes,eyes,mouths,hair
0,Wordsmith,Bronze Coinhead,Jacket Green,Angry,Happy,Snowcap Purple
1,Dance,Silver Coinhead,TankTop Green,Suprised,Bad,Fedora
2,Studio,Bronze Coinhead,Tshirt Orange,Angry,Fearful,Hairdo 3
3,Fashion,Bronze Coinhead,Tshirt Orange,Sad,Bad,Hairdo 1
4,Fashion,Silver Coinhead,TankTop Green,Sad,Bad,Hairdo 1
5,Wordsmith,Silver Coinhead,TankTop Pink,Fearful,Fearful,Long Red Hair
6,Wordsmith,Bronze Coinhead,Tshirt Green,Angry,Disgusted,Hairdo 1
7,Fashion,Silver Coinhead,TankTop Green,Happy,Angry,Hairdo 4
8,Wordsmith,Bronze Coinhead,Jacket Red,Happy,Angry,Fedora
9,Fashion,Bronze Coinhead,Tshirt Red,Happy,Disgusted,50s Hair
10,Wordsmith,Bronze Coinhead,TankTop Blue,Fearful,Suprised,Crown
11,Studio,Bronze Coinhead,Tshirt Blue,Suprised,Bad,Hairdo 2
12,Studio,Bronze Coinhead,Jacket Blue,Fearful,Suprised,Hairdo 3
13,Dance,Silver Coinhead,TankTop Yellow,Suprised,Bad,Straw Hat
14,Studio,Silver Coinhead,Tshirt Red,Angry,Fearful,Hairdo 1
15,Dance,Silver Coinhead,TankTop Pink,Sad,Angry,Hairdo 1
16,Music,Silver Coinhead,TankTop Blue,Sad,Disgusted,Hairdo 1
17,Dance,Silver Coinhead,Jacket Yellow,Suprised,Sad,Snowcap Purple
18,Music,Bronze Coinhead,TankTop Blue,Suprised,Angry,Green Hair
19,Studio,Silver Coinhead,Tshirt Blue,Fearful,Disgusted,Snowcap Purple
20,Digital,Bronze Coinhead,TankTop Yellow,Angry,Happy,Hairdo 2
21,Dance,Silver Coinhead,TankTop Yellow,Disgusted,Angry,Snowcap Purple
22,Wordsmith,Bronze Coinhead,Tshirt Orange,Fearful,Sad,Long Red Hair
23,Dance,Silver Coinhead,Tshirt Green,Disgusted,Fearful,Hairdo 2
24,Music,Silver Coinhead,TankTop Yellow,Disgusted,Suprised,Pigtails Blue
25,Wordsmith,Silver Coinhead,Tshirt Red,Happy,Suprised,Straw Hat
26,Studio,Silver Coinhead,Tshirt Orange,Happy,Angry,Hairdo 4
27,Digital,Bronze Coinhead,Jacket Yellow,Bad,Suprised,Hairdo 4
28,Music,Bronze Coinhead,TankTop Green,Angry,Bad,Pigtails Blue
29,Studio,Bronze Coinhead,Tshirt Red,Fearful,Bad,Snowcap Purple
30,Fashion,Bronze Coinhead,Tshirt Orange,Fearful,Sad,Long Red Hair
31,Digital,Bronze Coinhead,Tshirt Green,Bad,Fearful,Hairdo 4
32,Wordsmith,Bronze Coinhead,Jacket Yellow,Bad,Disgusted,50s Hair
33,Music,Silver Coinhead,TankTop Pink,Suprised,Disgusted,Long Red Hair
34,Wordsmith,Bronze Coinhead,TankTop Green,Angry,Disgusted,Snowcap Purple
35,Dance,Bronze Coinhead,TankTop Yellow,Fearful,Fearful,Army Hat
36,Music,Bronze Coinhead,TankTop Yellow,Fearful,Angry,Long Red Hair
37,Studio,Diamond Coinhead,Jacket Blue,Sad,Disgusted,Pigtails Blue
38,Digital,Silver Coinhead,Tshirt Green,Sad,Fearful,Hairdo 1
39,Dance,Bronze Coinhead,TankTop Blue,Disgusted,Angry,Long Red Hair
40,Music,Silver Coinhead,Tshirt Blue,Suprised,Bad,Fedora
41,Fashion,Silver Coinhead,TankTop Yellow,Angry,Suprised,Hairdo 2
42,Studio,Silver Coinhead,Tshirt Blue,Angry,Fearful,Hairdo 3
43,Wordsmith,Silver Coinhead,Tshirt Green,Fearful,Fearful,Hairdo 1
44,Digital,Silver Coinhead,TankTop Green,Fearful,Fearful,Long Red Hair
45,Dance,Gold Coinhead,TankTop Pink,Happy,Fearful,Long Red Hair
46,Digital,Bronze Coinhead,Tshirt Green,Angry,Bad,Pigtails Blue
47,Studio,Bronze Coinhead,Tshirt Red,Disgusted,Happy,Hairdo 3
48,Music,Bronze Coinhead,TankTop Yellow,Fearful,Happy,Hairdo 4
49,Dance,Bronze Coinhead,TankTop Green,Fearful,Sad,Hairdo 2
50,Fashion,Bronze Coinhead,Tshirt Blue,Sad,Angry,Green Hair
51,Digital,Silver Coinhead,TankTop Green,Fearful,Bad,Hairdo 4
52,Digital,Bronze Coinhead,TankTop Blue,Fearful,Angry,Hairdo 3
53,Music,Silver Coinhead,Tshirt Orange,Happy,Suprised,Hairdo 2
54,Music,Silver Coinhead,Tshirt Blue,Happy,Happy,Pigtails Blue
55,Digital,Bronze Coinhead,Tshirt Green,Fearful,Fearful,50s Hair
56,Wordsmith,Silver Coinhead,TankTop Blue,Disgusted,Suprised,Hairdo 3
57,Wordsmith,Silver Coinhead,TankTop Yellow,Disgusted,Bad,Snowcap Purple
58,Music,Silver Coinhead,Tshirt Blue,Happy,Suprised,Fedora
59,Digital,Bronze Coinhead,Tshirt Red,Angry,Bad,Hairdo 1
60,Studio,Bronze Coinhead,Jacket Green,Disgusted,Sad,Hairdo 2
61,Music,Silver Coinhead,TankTop Green,Angry,Sad,Hairdo 3
62,Wordsmith,Bronze Coinhead,TankTop Green,Suprised,Angry,Hairdo 4
63,Studio,Bronze Coinhead,Tshirt Blue,Happy,Bad,Pigtails Blue
64,Wordsmith,Silver Coinhead,TankTop Pink,Happy,Angry,Pigtails Blue
65,Music,Silver Coinhead,Tshirt Red,Disgusted,Angry,Hairdo 4
66,Fashion,Bronze Coinhead,Tshirt Blue,Suprised,Happy,Hairdo 2
67,Wordsmith,Bronze Coinhead,Tshirt Orange,Angry,Happy,50s Hair
68,Studio,Silver Coinhead,Tshirt Orange,Happy,Suprised,Green Hair
69,Dance,Bronze Coinhead,TankTop Blue,Suprised,Suprised,Straw Hat
70,Digital,Silver Coinhead,Tshirt Red,Fearful,Bad,Hairdo 4
71,Wordsmith,Silver Coinhead,TankTop Yellow,Bad,Sad,Long Red Hair
72,Dance,Silver Coinhead,TankTop Green,Sad,Suprised,Pigtails Blue
73,Wordsmith,Silver Coinhead,Tshirt Red,Suprised,Fearful,Long Red Hair
74,Dance,Bronze Coinhead,TankTop Yellow,Bad,Suprised,Pigtails Blue
75,Dance,Bronze Coinhead,TankTop Pink,Bad,Fearful,Hairdo 4
76,Dance,Silver Coinhead,Tshirt Blue,Happy,Suprised,Hairdo 3
77,Dance,Bronze Coinhead,Tshirt Blue,Suprised,Angry,Long Red Hair
78,Digital,Silver Coinhead,Tshirt Red,Disgusted,Suprised,Snowcap Purple
79,Music,Silver Coinhead,TankTop Pink,Disgusted,Sad,Hairdo 3
80,Fashion,Bronze Coinhead,Tshirt Green,Disgusted,Sad,Hairdo 4
81,Dance,Bronze Coinhead,Jacket Green,Happy,Fearful,Hairdo 3
82,Digital,Bronze Coinhead,Tshirt Orange,Sad,Suprised,Pigtails Blue
83,Studio,Bronze Coinhead,Jacket Yellow,Angry,Fearful,Long Red Hair
84,Wordsmith,Bronze Coinhead,Tshirt Blue,Happy,Disgusted,Snowcap Purple
85,Fashion,Silver Coinhead,Tshirt Orange,Fearful,Bad,Hairdo 1
86,Wordsmith,Silver Coinhead,TankTop Blue,Sad,Fearful,Hairdo 1
87,Digital,Bronze Coinhead,Tshirt Green,Bad,Disgusted,Hairdo 3
88,Studio,Bronze Coinhead,TankTop Green,Disgusted,Bad,Hairdo 2
89,Music,Bronze Coinhead,Tshirt Blue,Bad,Fearful,Hairdo 4
90,Dance,Bronze Coinhead,Tshirt Blue,Suprised,Sad,Hairdo 3
91,Dance,Bronze Coinhead,Jacket Red,Happy,Sad,Hairdo 3
92,Fashion,Bronze Coinhead,TankTop Blue,Fearful,Happy,Anime Hair
93,Wordsmith,Bronze Coinhead,Tshirt Blue,Angry,Suprised,Hairdo 3
94,Music,Bronze Coinhead,TankTop Green,Disgusted,Disgusted,Long Red Hair
95,Wordsmith,Bronze Coinhead,TankTop Yellow,Happy,Fearful,Long Red Hair
96,Music,Bronze Coinhead,TankTop Blue,Sad,Angry,50s Hair
97,Studio,Silver Coinhead,Tshirt Blue,Disgusted,Happy,Hairdo 4
98,Dance,Bronze Coinhead,Jacket Green,Suprised,Sad,Hairdo 1
99,Digital,Bronze Coinhead,TankTop Pink,Angry,Angry,Hairdo 3
100,Music,Bronze Coinhead,TankTop Blue,Angry,Fearful,Hairdo 2
101,Music,Silver Coinhead,TankTop Blue,Angry,Fearful,Hairdo 2
102,Digital,Bronze Coinhead,TankTop Green,Sad,Disgusted,Hairdo 1
103,Dance,Diamond Coinhead,TankTop Green,Bad,Angry,Fedora
104,Fashion,Silver Coinhead,TankTop Green,Bad,Bad,Hairdo 3
105,Dance,Silver Coinhead,TankTop Pink,Happy,Angry,Hairdo 1
106,Wordsmith,Silver Coinhead,TankTop Pink,Disgusted,Disgusted,Pigtails Blue
107,Music,Silver Coinhead,Tshirt Red,Sad,Sad,Snowcap Purple
108,Music,Silver Coinhead,Jacket Yellow,Angry,Happy,Hairdo 4
109,Digital,Bronze Coinhead,TankTop Blue,Disgusted,Fearful,Hairdo 1
110,Digital,Silver Coinhead,TankTop Yellow,Suprised,Disgusted,Hairdo 1
111,Fashion,Silver Coinhead,TankTop Pink,Angry,Sad,Green Hair
112,Dance,Bronze Coinhead,Tshirt Green,Disgusted,Fearful,Hairdo 2
113,Fashion,Bronze Coinhead,TankTop Pink,Happy,Angry,Pigtails Blue
114,Digital,Silver Coinhead,Jacket Red,Disgusted,Disgusted,50s Hair
115,Fashion,Bronze Coinhead,TankTop Pink,Bad,Suprised,Hairdo 1
